study_area,lab_id,provenience,1630_cm1,H2Ome_pct,3570_cm1,H2Ot_pct,eht_c,RH_fraction,rate,H2Ome2_per_day,Ea_J_per_mol,date_bp,date_ad,sd
SA1,DHR-1744,26-196,0.1100000000000000,0.1068070000000000,0.1296000000000000,0.0880947660750637,22.3999999999999986,0.9800000000000000,0.0000253742793540,0.0000001177662213,84606.7445277637889376,476.8608334121389021,1532.1391665878611548,30.0000000000000000
SA1,DHR-1745,26-196,0.0765000000000000,0.0594480499999999,0.1172000000000000,0.0785073434727661,22.3999999999999986,0.9800000000000000,0.0000245011711594,0.0000001156888483,84834.1198421998851700,238.8559290463192895,1770.1440709536807390,30.0000000000000000
SA1,DHR-1751,Garden 5,0.1197000000000000,0.1205198899999999,0.0886000000000000,0.0569794847599855,22.3999999999999986,0.9800000000000000,0.0000226485769617,0.0000001111568025,85344.6745394321769709,632.6265011799673630,1376.3734988200326370,30.0000000000000000
SA1,DHR-1753,Garden 5,0.0937000000000000,0.0837636900000000,0.1316000000000000,0.0896540311207215,22.3999999999999986,0.9800000000000000,0.0000255191914274,0.0000001181075872,84569.7649979409616208,344.0426404173965693,1664.9573595826034307,30.0000000000000000
SA1,DHR-1754,Garden 5,0.1063000000000000,0.1015763100000000,0.0934000000000000,0.0605298231201541,22.3999999999999986,0.9800000000000000,0.0000229441624294,0.0000001118918045,85260.4747148824244505,492.4864890919593563,1516.5135109080406437,30.0000000000000000
SA1,DHR-1755,Garden 5,0.1200000000000000,0.1209440000000000,0.1250000000000000,0.0845218214076174,22.3999999999999986,0.9800000000000000,0.0000250453192404,0.0000001169877218,84691.4804834969399963,574.9577340882624412,1434.0422659117375588,30.0000000000000000
SA1,DHR-1756,Garden 5,0.1310000000000000,0.1364947000000000,0.1318000000000000,0.0898101484378449,22.3999999999999986,0.9800000000000000,0.0000255337458685,0.0000001181418201,84566.0625196480687009,672.0909688842576770,1336.9090311157424367,30.0000000000000000
SA1,DHR-1757,Garden 13,0.1230000000000000,0.1251851000000000,0.1073000000000000,0.0709576481949750,22.3999999999999986,0.9800000000000000,0.0000238348304261,0.0000001140788255,85013.1684154079703148,634.7433453295850541,1374.2566546704149459,30.0000000000000000
SA1,DHR-1709,26-286,0.0986000000000000,0.0906908200000000,0.1499000000000000,0.1040764614930514,22.3999999999999986,0.9800000000000000,0.0000268994078728,0.0000001213123330,84227.7226392307929927,454.0111651952342413,1554.9888348047657018,30.0000000000000000
SA1,DHR-1710,26-286,0.1194000000000000,0.1101761686507390,0.2866000000000000,0.2186901104710818,22.3999999999999986,0.9800000000000000,0.0000273389058138,0.0000001223157515,84122.4833557887468487,521.4678340497006275,1487.5321659502992588,30.0000000000000000
SA1,DHR-1711,26-286,0.1066000000000000,0.1007191527628577,0.2871000000000000,0.2191272672507571,22.3999999999999986,0.9800000000000000,0.0000283448749994,0.0000001245830412,83887.8331568049761700,400.9035143117146163,1608.0964856882853837,30.0000000000000000
SA1,DHR-1713,26-286,0.1067000000000000,0.1007897947441466,0.2741000000000000,0.2077977319392993,22.3999999999999986,0.9800000000000000,0.0000271889486039,0.0000001219742815,84158.1997614797583083,418.7322638268383912,1590.2677361731616656,30.0000000000000000
SA1,DHR-1714,26-286,0.1059000000000000,0.1002260432841097,0.2927000000000000,0.2240309630042205,22.3999999999999986,0.9800000000000000,0.0000289090996520,0.0000001258374055,83759.8425239178468473,387.9335619233388570,1621.0664380766611430,30.0000000000000000
SA1,DHR-1715,26-286,0.1105000000000000,0.1035112236505565,0.2977000000000000,0.2284208347384632,22.3999999999999986,0.9800000000000000,0.0000290259703502,0.0000001260957189,83733.6436634392011911,420.6663843685746542,1588.3336156314251184,30.0000000000000000
SA1,DHR-1716,26-205,0.1110000000000000,0.1038747345704923,0.2798000000000000,0.2127558762695705,22.3999999999999986,0.9800000000000000,0.0000273755942018,0.0000001223991549,84113.7748434646637179,450.0724225086093497,1558.9275774913905934,30.0000000000000000
SA1,DHR-1717,26-205,0.1112000000000000,0.1040204961297085,0.2752000000000000,0.2087534071778833,22.3999999999999986,0.9800000000000000,0.0000269639760484,0.0000001214602512,84212.1542815814900678,458.5911209018433965,1550.4088790981566035,30.0000000000000000
SA1,DHR-1718,26-205,0.1001000000000000,0.0962320563152257,0.2803000000000000,0.2131915079482442,22.3999999999999986,0.9800000000000000,0.0000281953040598,0.0000001242484665,83922.1896450713393278,355.3786821651311243,1653.6213178348689326,30.0000000000000000
SA1,DHR-1720,26-205,0.1035000000000000,0.0985536379709742,0.2698000000000000,0.2040672874735931,22.3999999999999986,0.9800000000000000,0.0000270409710536,0.0000001216364104,84193.6382883958867751,396.1488653192656670,1612.8511346807345035,30.0000000000000000
SA1,DHR-1721,26-205,0.1154000000000000,0.1071291823462325,0.2940000000000000,0.2251712864843787,22.3999999999999986,0.9800000000000000,0.0000283070105713,0.0000001244984247,83896.5134582597238477,470.4544821662009895,1538.5455178337990674,30.0000000000000000
SA1,DHR-1722,26-205,0.1075000000000000,0.1013567171934621,0.2999000000000000,0.2303557941841877,22.3999999999999986,0.9800000000000000,0.0000294627418669,0.0000001270565945,83636.6578900879540015,392.2326731231762551,1616.7673268768235175,30.0000000000000000
SA1,DHR-1723,26-205,0.1130000000000000,0.1053415889435894,0.2544000000000000,0.1907789172705137,22.3999999999999986,0.9800000000000000,0.0000251292011266,0.0000001171867074,84669.7683213986601913,508.1339408958614854,1500.8660591041384578,30.0000000000000000
SA1,DHR-1724,26-205,0.1188000000000000,0.1097136552760809,0.2848000000000000,0.2171172670127251,22.3999999999999986,0.9800000000000000,0.0000272282672072,0.0000001220639039,84148.8159440537419869,518.3377955204811087,1490.6622044795190050,30.0000000000000000
SA1,DHR-1725,26-205,0.0887000000000000,0.0888397076163203,0.2640000000000000,0.1990492511466116,22.3999999999999986,0.9800000000000000,0.0000275087317883,0.0000001227013547,84082.2704656356072519,286.0070053588211749,1722.9929946411789388,30.0000000000000000
SA1,DHR-1726,26-205,0.1059000000000000,0.1002260432841097,0.2896000000000000,0.2213147116086971,22.3999999999999986,0.9800000000000000,0.0000286237312548,0.0000001252045041,83824.2611420140892733,391.8011212504760010,1617.1988787495240558,30.0000000000000000
SA1,DHR-1727,26-205,0.1175000000000000,0.1087181928767680,0.2927000000000000,0.2240309630042205,22.3999999999999986,0.9800000000000000,0.0000280262464018,0.0000001238692494,83961.2423436573299114,492.6185905200318302,1516.3814094799681698,30.0000000000000000
SA1,DHR-1590,26-233,0.1392000000000000,0.1265837770196466,0.3229000000000000,0.2507064244730249,22.3999999999999986,0.9800000000000000,0.0000289426653297,0.0000001259116465,83752.3072929956833832,669.4836076521941095,1339.5163923478057768,30.0000000000000000
SA1,DHR-1591,26-233,0.1255000000000000,0.1149905036381826,0.2782000000000000,0.2113626176941962,22.3999999999999986,0.9800000000000000,0.0000261530680837,0.0000001195897120,84410.4389430475857807,602.2333574635761124,1406.7666425364238876,30.0000000000000000
SA1,DHR-1592,26-233,0.2101000000000000,0.2080972519524932,0.4651000000000000,0.3808282064945571,22.3999999999999986,0.9800000000000000,0.0000345650735479,0.0000001378012716,82599.5126820804143790,731.9302452135116255,1277.0697547864883745,30.0000000000000000
SA1,DHR-1594,26-233,0.1483000000000000,0.1349233970181625,0.5196000000000000,0.4323763224711245,22.3999999999999986,0.9800000000000000,0.0000545082711145,0.0000001737009902,79641.6064199575484963,403.4780327891896263,1605.5219672108103168,30.0000000000000000
SA1,DHR-1596,26-233,0.1409000000000000,0.1281015831966082,0.3123000000000000,0.2413002533621939,22.3999999999999986,0.9800000000000000,0.0000278106861689,0.0000001233840862,84011.3803383529739222,713.8554539586378951,1295.1445460413619912,30.0000000000000000
SA1,DHR-1598,26-233,0.1333000000000000,0.1214542547651075,0.2912000000000000,0.2227161217713064,22.3999999999999986,0.9800000000000000,0.0000266243132894,0.0000001206801577,84294.4735620809951797,667.3933636085038188,1341.6066363914960675,30.0000000000000000
SA1,DHR-1599,26-233,0.1325000000000000,0.1207749199810122,0.2955000000000000,0.2264879571565305,22.3999999999999986,0.9800000000000000,0.0000270606695216,0.0000001216814395,84188.9096103454066906,648.7736745022804143,1360.2263254977196993,30.0000000000000000
SA1,DHR-1600,26-233,0.1031000000000000,0.0982776295387042,0.1864000000000000,0.1335929424281944,22.3999999999999986,0.9800000000000000,0.0000209256417407,0.0000001067752754,85858.4620395128440578,507.9705622284027982,1501.0294377715972587,30.0000000000000000
SA1,DHR-1601,26-233,0.1006000000000000,0.0965700042409169,0.2656000000000000,0.2004319482111239,22.3999999999999986,0.9800000000000000,0.0000268783415320,0.0000001212640346,84232.8101368025672855,376.5247192784422055,1632.4752807215575103,30.0000000000000000
SA1,DHR-1602,26-233,0.1133000000000000,0.1055633965805625,0.2487000000000000,0.1858897674224927,22.3999999999999986,0.9800000000000000,0.0000246644850811,0.0000001160801529,84790.9797891127818730,520.4604903695784515,1488.5395096304214348,30.0000000000000000
SA1,DHR-1603,26-233,0.1254000000000000,0.1149099086034667,0.2880000000000000,0.2199144288529098,22.3999999999999986,0.9800000000000000,0.0000269907367539,0.0000001215215058,84205.7127977642085170,582.6132181338532519,1426.3867818661467481,30.0000000000000000
SA1,DHR-1604,26-233,0.1308000000000000,0.1193439234625080,0.3068000000000000,0.2364378908425924,22.3999999999999986,0.9800000000000000,0.0000282091591807,0.0000001242794956,83918.9994696139183361,606.4923768344592645,1402.5076231655407355,30.0000000000000000
SA1,DHR-1605,26-233,0.1198000000000000,0.1104855936106769,0.2624000000000000,0.1976677742526520,22.3999999999999986,0.9800000000000000,0.0000252898492278,0.0000001175668892,84628.3874038949143142,567.5019993480580069,1441.4980006519419931,30.0000000000000000
SA1,DHR-1606,26-233,0.1284000000000000,0.1173525108001987,0.2579000000000000,0.1937889671488067,22.3999999999999986,0.9800000000000000,0.0000243165609611,0.0000001152449697,84883.2330012364109280,677.9971899131198825,1331.0028100868798902,30.0000000000000000
SA1,DHR-1607,26-233,0.1119000000000000,0.1045322742159712,0.2443000000000000,0.1821268157188265,22.3999999999999986,0.9800000000000000,0.0000244196268929,0.0000001154929859,84855.7678537182800937,512.7682767200299168,1496.2317232799700832,30.0000000000000000
SA1,DHR-1608,26-233,0.1301000000000000,0.1187596292317087,0.2916000000000000,0.2230666498476557,22.3999999999999986,0.9800000000000000,0.0000269220679622,0.0000001213642645,84222.2546990722039482,628.7039325426923142,1380.2960674573077995,30.0000000000000000
SA1,DHR-1609,26-233,0.1216000000000000,0.1118887951833210,0.2953000000000000,0.2263123447016002,22.3999999999999986,0.9800000000000000,0.0000279353758501,0.0000001236649508,83982.3310996244981652,529.3130860081332685,1479.6869139918667315,30.0000000000000000
SA1,DHR-1610,26-233,0.1175000000000000,0.1087181928767680,0.2688000000000000,0.2032009777914806,22.3999999999999986,0.9800000000000000,0.0000259732279992,0.0000001191710237,84455.2462729626713553,531.5569555083260411,1477.4430444916738452,30.0000000000000000
SA1,DHR-1611,26-233,0.1365000000000000,0.1242100206608687,0.3023000000000000,0.2324690180559201,22.3999999999999986,0.9800000000000000,0.0000273134622346,0.0000001222578785,84128.5296177789568901,682.1636100164899972,1326.8363899835098891,30.0000000000000000
SA1,DHR-1612,26-233,0.1207000000000000,0.1111849807942272,0.2825000000000000,0.2151096299698024,22.3999999999999986,0.9800000000000000,0.0000268844976866,0.0000001212781506,84231.3230201520636911,541.8918430176483980,1467.1081569823516020,30.0000000000000000
SA1,DHR-1613,26-233,0.1280000000000000,0.1170238544137298,0.2629000000000000,0.1980993543265156,22.3999999999999986,0.9800000000000000,0.0000247320586214,0.0000001162416881,84773.2134440683730645,662.4600180202738784,1346.5399819797262353,30.0000000000000000
SA1,DHR-1614,26-233,0.1023000000000000,0.0977279294695449,0.4220000000000000,0.3406771906224299,22.3999999999999986,0.9800000000000000,0.0000446696611298,0.0000001569864684,80934.2153224981739186,234.2818310081583491,1774.7181689918415941,30.0000000000000000
SA1,DHR-1615,26-233,0.1116000000000000,0.1043126331520956,0.2728000000000000,0.2066690177852373,22.3999999999999986,0.9800000000000000,0.0000267309540450,0.0000001209256007,84268.5159820404078346,465.9227642626124748,1543.0772357373875820,30.0000000000000000
SA2,RBC-39,TU 46,0.1270000000000000,0.1308399000000000,0.1334000000000000,0.0910603256991046,21.8000000000000007,0.9800000000000000,0.0000239175309066,0.0000001184163123,84536.4133157200412825,715.7544605623587586,1293.2455394376411277,30.0000000000000000
SA2,RBC-11,TU 12,0.1193000000000000,0.1199544100000000,0.1134000000000000,0.0755980406967972,21.8000000000000007,0.9800000000000000,0.0000225974484216,0.0000001150657465,84903.1168668347527273,636.7559828000211155,1372.2440171999787708,30.0000000000000000
SA2,RBC-78,TU 32,0.1205000000000000,0.1216508500000000,0.1234000000000000,0.0832835057615521,21.8000000000000007,0.9800000000000000,0.0000232442230512,0.0000001167191110,84720.8483773590269266,636.6712827153007765,1372.3287172846992235,30.0000000000000000
SA2,RBC-25,TU 4,0.1186000000000000,0.1189648200000000,0.1425000000000000,0.0982116398447915,21.8000000000000007,0.9800000000000000,0.0000245538834643,0.0000001199987769,84366.8127494409272913,576.3906315750731437,1432.6093684249267426,30.0000000000000000
SA2,RBC-22,TU 4,0.1240000000000000,0.1265988000000000,0.1573000000000000,0.1099836258166296,21.8000000000000007,0.9800000000000000,0.0000256384870358,0.0000001226499078,84087.6283301328076050,625.1248811612762211,1383.8751188387236652,30.0000000000000000
SA2,RBC-55,TU 2,0.1152000000000000,0.1141582400000000,0.1360000000000000,0.0930965166557835,21.8000000000000007,0.9800000000000000,0.0000240970210315,0.0000001188647497,84488.1230109914322384,540.8180431452598214,1468.1819568547402923,30.0000000000000000
SA2,RBC-8,TU 12,0.1292000000000000,0.1339500400000000,0.1411000000000000,0.0971069929283207,21.8000000000000007,0.9800000000000000,0.0000244544930723,0.0000001197529633,84393.0105557119532023,733.7143797232065481,1275.2856202767936793,30.0000000000000000
SA2,RBC-48,TU 2,0.1250000000000000,0.1280125000000000,0.1276000000000000,0.0865390024116431,21.8000000000000007,0.9800000000000000,0.0000235237423230,0.0000001174266053,84643.6410188054724131,696.6238590468429948,1312.3761409531571189,30.0000000000000000
SA2,RBC-75,TU 51,0.1210000000000000,0.1223576999999999,0.1153000000000000,0.0770509461102196,21.8000000000000007,0.9800000000000000,0.0000227183235345,0.0000001153765028,84868.6597620500251651,659.0013883101723877,1349.9986116898276123,30.0000000000000000
SA2,RBC-12,TU 12,0.1250000000000000,0.1280125000000000,0.1489000000000000,0.1032814040341555,21.8000000000000007,0.9800000000000000,0.0000250152410493,0.0000001211334233,84246.5782219259708654,655.0886367204050202,1353.9113632795949798,30.0000000000000000
SA2,RBC-16,TU 12,0.1250000000000000,0.1280125000000000,0.1555000000000000,0.1085429455198491,21.8000000000000007,0.9800000000000000,0.0000255032196742,0.0000001223223371,84121.7955040512606502,642.5541702422567596,1366.4458297577432404,30.0000000000000000
SA2,RBC-9,TU 12,0.1187000000000000,0.1191061900000000,0.1214000000000000,0.0817389002530406,21.8000000000000007,0.9800000000000000,0.0000231127663177,0.0000001163849253,84757.4802415988961002,613.7856585978385056,1395.2143414021616081,30.0000000000000000
SA2,RBC-5,TU 28,0.1258000000000000,0.1291434600000000,0.1671000000000000,0.1178689015509943,21.8000000000000007,0.9800000000000000,0.0000263916566147,0.0000001244584026,83900.6211308166239178,631.9434018195329372,1377.0565981804670628,30.0000000000000000
SA2,RBC-41,TU 46,0.1197000000000000,0.1205198899999999,0.1312000000000000,0.0893419002042947,21.8000000000000007,0.9800000000000000,0.0000237670924665,0.0000001180391741,84577.1674947549472563,611.1409675407414852,1397.8590324592582874,30.0000000000000000
SA2,RBC-37,TU 24,0.1193000000000000,0.1199544100000000,0.1324000000000000,0.0902787072875624,21.8000000000000007,0.9800000000000000,0.0000238489869352,0.0000001182446235,84554.9501779681741027,603.3405325586376193,1405.6594674413624944,30.0000000000000000
SA2,RBC-54,TU 2,0.1178000000000000,0.1178338600000000,0.1249000000000000,0.0844443587085800,21.8000000000000007,0.9800000000000000,0.0000233435116410,0.0000001169709007,84693.3175888673140435,594.8041912473860293,1414.1958087526140844,30.0000000000000000
SA2,RBC-18,TU 4,0.1167000000000000,0.1162787899999999,0.1376000000000000,0.0943523856729152,21.8000000000000007,0.9800000000000000,0.0000242083967754,0.0000001191421804,84458.3388213811413152,558.5151767506414444,1450.4848232493588966,30.0000000000000000
SA2,RBC-71,TU 30,0.1168000000000000,0.1164201600000000,0.1425000000000000,0.0982116398447915,21.8000000000000007,0.9800000000000000,0.0000245538834643,0.0000001199987769,84366.8127494409272913,551.9963338634028105,1457.0036661365970758,30.0000000000000000
SA2,RBC-47,TU 46,0.1148000000000000,0.1135927599999999,0.1280000000000000,0.0868498728050985,21.8000000000000007,0.9800000000000000,0.0000235506090559,0.0000001174943885,84636.2684165542887058,547.8973003958096797,1461.1026996041903203,30.0000000000000000
SA2,RBC-70,TU 30,0.0911000000000000,0.0800880700000000,0.1311000000000000,0.0892638891158649,21.8000000000000007,0.9800000000000000,0.0000237602855349,0.0000001180220817,84579.0176057281496469,269.9504156592944923,1739.0495843407056782,30.0000000000000000
SA2,RBC-52,TU 2,0.1145000000000000,0.1131686500000000,0.1318000000000000,0.0898101484378449,21.8000000000000007,0.9800000000000000,0.0000238079909116,0.0000001181418201,84566.0625196480687009,537.9346535529379025,1471.0653464470619838,30.0000000000000000
SA2,RBC-32,TU 24,0.1159000000000000,0.1151478300000000,0.1489000000000000,0.1032814040341555,21.8000000000000007,0.9800000000000000,0.0000250152410493,0.0000001211334233,84246.5782219259708654,530.0377768718019524,1478.9622231281980476,30.0000000000000000
SA2,RBC-59,TU 29,0.1135000000000000,0.1117549500000000,0.1439000000000000,0.0993178688127503,21.8000000000000007,0.9800000000000000,0.0000246538210225,0.0000001202454482,84340.5774232368130470,506.5814681671291737,1502.4185318328707126,30.0000000000000000
SA2,RBC-53,TU 2,0.1086000000000000,0.1048278200000000,0.1227000000000000,0.0827424759206819,21.8000000000000007,0.9800000000000000,0.0000231980927657,0.0000001166019466,84733.6794410651054932,473.6972111000048926,1535.3027888999949937,30.0000000000000000
SA2,RBC-27,TU 4,0.1118000000000000,0.1093516599999999,0.1478000000000000,0.1024077389329359,21.8000000000000007,0.9800000000000000,0.0000249351222440,0.0000001209371290,84267.2980634664854733,479.5559222752088999,1529.4440777247909864,30.0000000000000000
SA2,RBC-57,TU 2,0.1098000000000000,0.1065242599999999,0.1380000000000000,0.0946666864191439,21.8000000000000007,0.9800000000000000,0.0000242363507302,0.0000001192117130,84450.8848648835846689,468.1982900338105082,1540.8017099661894918,30.0000000000000000
SA2,RBC-14,TU 12,0.1064000000000000,0.1017176800000000,0.1379000000000000,0.0945880987758426,21.8000000000000007,0.9800000000000000,0.0000242293581086,0.0000001191943233,84452.7486494321201462,427.0227208749744818,1581.9772791250256887,30.0000000000000000
SA2,RBC-58,TU 29,0.1064000000000000,0.1017176800000000,0.1425000000000000,0.0982116398447915,21.8000000000000007,0.9800000000000000,0.0000245538834643,0.0000001199987769,84366.8127494409272913,421.3788193467743213,1587.6211806532257924,30.0000000000000000
SA2,RBC-10,TU 12,0.1009000000000000,0.0939423300000000,0.1041000000000000,0.0685385357422882,21.8000000000000007,0.9800000000000000,0.0000220192215346,0.0000001135676887,85070.5400863358954666,400.7935226947004139,1608.2064773052995861,30.0000000000000000
SA2,RBC-49,TU 2,0.1039000000000000,0.0981834300000000,0.1346000000000000,0.0919993945642461,21.8000000000000007,0.9800000000000000,0.0000240001430590,0.0000001186229161,84514.1423585143347736,401.6636860395735766,1607.3363139604264234,30.0000000000000000
SA2,RBC-68,TU 30,0.1022000000000000,0.0957801400000000,0.1234000000000000,0.0832835057615521,21.8000000000000007,0.9800000000000000,0.0000232442230512,0.0000001167191110,84720.8483773590269266,394.6716222011751256,1614.3283777988249312,30.0000000000000000
SA2,RBC-38,TU 46,0.1032000000000000,0.0971938400000000,0.1336000000000000,0.0912167520336298,21.8000000000000007,0.9800000000000000,0.0000239312723431,0.0000001184507025,84532.7035087704280159,394.7405051652776820,1614.2594948347223180,30.0000000000000000
SA2,RBC-80,TU 32,0.1027000000000000,0.0964869900000000,0.1407000000000000,0.0967916719737478,21.8000000000000007,0.9800000000000000,0.0000244261960132,0.0000001196828883,84400.4887074705911800,381.1374982099005706,1627.8625017900997136,30.0000000000000000
